935494.6875	1915766.625	0
935530.6875	1915842.25	1
935545.375	1915870.5	2
935565.875	1915908.125	3
935575.2135	1915926.099	4
935589.375	1915952.625	5
935601.125	1915974.5	6
935632.75	1916034.5	7
935649.9375	1916090	8
935650.3125	1916103.625	9
935657.0625	1916127.25	10
935659.375	1916157.625	11
935656	1916211.875	12
935672.625	1916231.25	13
935684.8125	1916231.25	14
935694.0625	1916215.5	15
935695.8125	1916132.875	16
935682.9375	1916118.375	17
935666.6875	1916118.125	18
935658.3125	1916136.75	19
935659.8125	1916158.25	20
935658.75	1916191.5	21
935655.875	1916205.75	22
935649.9375	1916324.375	23
935648.625	1916343.25	24
935632.3125	1916357.75	25
935595.9375	1916357.25	26
935580.3125	1916340	27
935581.25	1916276.75	28
935581.6875	1916251.625	29
935615.5625	1916229.75	30
935626.625	1916230.625	31
935641.375	1916208.5	32
935642.625	1916155.75	33
935642.9375	1916131.125	34
935619.0625	1916023.625	35
935609.3125	1916004.875	36
935596.125	1915975.25	37
935589.3125	1915963.5	38
935477.5625	1915788.625	38
